Final Bankroll: 597.6305603672575 
Final Bankroll: 929.7184358060224 
Final Bankroll: 871.4633949799454 
Final Bankroll: 815.0642261881117 
Final Bankroll: 481.2527823478768 
Final Bankroll: 700.9204929246043 
Final Bankroll: 568.5733640247427 
Final Bankroll: 703.4714111416738 
Final Bankroll: 868.6507668814621 
Final Bankroll: 648.4813598866144 
Final Bankroll: 523.7003740849052 
Final Bankroll: 649.9310160473146 
Final Bankroll: 686.6159930690003 
Final Bankroll: 639.9221118328506 
Final Bankroll: 412.5279727457794 
Final Bankroll: 651.2646759085044 
Final Bankroll: 623.3103227884012 
Final Bankroll: 462.7578857559802 
Final Bankroll: 330.97460026687577 
Final Bankroll: 761.955258559376 
Final Bankroll: 756.5146592822442 
Final Bankroll: 622.7912219799415 
Final Bankroll: 524.20689504322 
Final Bankroll: 484.51191071800724 
Final Bankroll: 580.1864749849478 
Final Bankroll: 787.0778515172477 
Final Bankroll: 602.2696972162088 
Final Bankroll: 378.554729957233 
Final Bankroll: 732.1966110085277 
Final Bankroll: 602.0387228123465 
Final Bankroll: 563.1699169922431 
Final Bankroll: 604.129135044334 
Final Bankroll: 522.8457020541622 
Final Bankroll: 675.2200748507023 
Final Bankroll: 893.43717329605 
Final Bankroll: 533.5160225042466 
Final Bankroll: 708.3767985804077 
Final Bankroll: 491.18895253068223 
Final Bankroll: 677.8357232888052 
Final Bankroll: 688.7244763477164 
Final Bankroll: 420.07796455699025 
Final Bankroll: 702.2179662883211 
Final Bankroll: 571.7401291707246 
Final Bankroll: 359.501501303511 
Final Bankroll: 590.7162593274408 
Final Bankroll: 608.8419184379679 
Final Bankroll: 545.3938524530503 
Final Bankroll: 620.3777443258732 
Final Bankroll: 427.3457494109172 
Final Bankroll: 844.1533588524279 
Final Bankroll: 597.1426986853252 
Final Bankroll: 574.442793481791 
Final Bankroll: 856.4857790346538 
Final Bankroll: 533.498416911244 
Final Bankroll: 655.2490445000494 
Final Bankroll: 893.43717329605 
Final Bankroll: 845.6880625233747 
Final Bankroll: 573.9549199205359 
Final Bankroll: 587.3495472497086 
Final Bankroll: 612.4445123362381 
Final Bankroll: 436.8742946793624 
Final Bankroll: 564.8993179456734 
Final Bankroll: 705.9256677894721 
Final Bankroll: 745.7835354859576 
Final Bankroll: 389.0519157443698 
Final Bankroll: 786.4183461147668 
Final Bankroll: 473.36803815315136 
Final Bankroll: 616.9517637643762 
Final Bankroll: 521.4622308295124 
Final Bankroll: 637.1977842245875 
Final Bankroll: 647.9519873479314 
Final Bankroll: 514.5794970141267 
Final Bankroll: 611.5777160737593 
Final Bankroll: 543.0719581128793 
Final Bankroll: 679.6452769248754 
Final Bankroll: 311.19424085078606 
Final Bankroll: 503.86792965539394 
Final Bankroll: 393.8483410475053 
Final Bankroll: 620.3777443258737 
Final Bankroll: 680.3250773566238 
Final Bankroll: 597.0333906810516 
Final Bankroll: 365.64189334209993 
Final Bankroll: 691.81856925173 
Final Bankroll: 763.0225968018558 
Final Bankroll: 890.7166725607542 
Final Bankroll: 652.1769600443047 
Final Bankroll: 859.0875539912718 
Final Bankroll: 455.82128455230605 
Final Bankroll: 677.0226457386243 
Final Bankroll: 492.28698731649064 
Final Bankroll: 512.5853678847259 
Final Bankroll: 773.8600921160171 
Final Bankroll: 624.9433799349365 
Final Bankroll: 626.1002121255797 
Final Bankroll: 436.0016560985753 
Final Bankroll: 417.2801919319078 
Final Bankroll: 694.5099756937414 
Final Bankroll: 835.0728604569903 
Final Bankroll: 452.30274117651504 
Final Bankroll: 364.1582640844915 
